name	1920	1920m	1920f	1925	1925m	1925f
全　　　　　　　　国	55,963,053 	28,044,185 	27,918,868 	59,736,822 	30,013,109 	29,723,713 	64,450,005 	32,390,155 	32,059,850 	69,254,148 	34,734,133 	34,520,015 	73,114,308 	36,566,010 	36,548,298 	71,998,104 	33,894,059 	38,104,045 	84,114,574 	41,241,192 	42,873,382 	90,076,594 	44,242,657 	45,833,937 	94,301,623 	46,300,445 	48,001,178 	99,209,137 	48,692,138 	50,516,999 	104,665,171 	51,369,177 	53,295,994 	111,939,643 	55,090,673 	56,848,970 	117,060,396 	57,593,769 	59,466,627 	121,048,923 	59,497,316 	61,551,607 	123,611,167 	60,696,724 	62,914,443 	125,570,246 	61,574,398 	63,995,848 	126,925,843 	62,110,764 	64,815,079 	127,767,994 	62,348,977 	65,419,017 	128,057,352 	62,327,737 	65,729,615									
21　岐　　阜　　県	1,070,407 	536,334 	534,073 	1,132,557 	567,837 	564,720 	1,178,405 	591,049 	587,356 	1,225,799 	612,366 	613,433 	1,265,024 	632,820 	632,204 	1,518,649 	715,800 	802,849 	1,544,538 	762,295 	782,243 	1,583,605 	774,062 	809,543 	1,638,399 	796,825 	841,574 	1,700,365 	821,444 	878,921 	1,758,954 	848,786 	910,168 	1,867,978 	907,382 	960,596 	1,960,107 	954,018 	1,006,089 	2,028,536 	986,919 	1,041,617 	2,066,569 	1,003,933 	1,062,636 	2,100,315 	1,019,549 	1,080,766 	2,107,700 	1,022,186 	1,085,514 	2,107,226 	1,020,570 	1,086,656 	2,080,773 	1,006,247 	1,074,526 																				
22　静　　岡　　県	1,550,387 	774,169 	776,218 	1,671,217 	835,521 	835,696 	1,797,805 	900,640 	897,165 	1,939,860 	966,250 	973,610 	2,017,860 	996,813 	1,021,047 	2,220,358 	1,039,175 	1,181,183 	2,471,472 	1,206,651 	1,264,821 	2,650,435 	1,301,198 	1,349,237 	2,756,271 	1,353,122 	1,403,149 	2,912,521 	1,428,930 	1,483,591 	3,089,895 	1,516,642 	1,573,253 	3,308,799 	1,627,797 	1,681,002 	3,446,804 	1,695,778 	1,751,026 	3,574,692 	1,759,455 	1,815,237 	3,670,840 	1,808,951 	1,861,889 	3,737,689 	1,841,947 	1,895,742 	3,767,393 	1,857,031 	1,910,362 	3,792,377 	1,868,458 	1,923,919 	3,765,007 	1,853,952 	1,911,055 																				
23　愛　　知　　県	2,089,762 	1,033,860 	1,055,902 	2,319,494 	1,150,325 	1,169,169 	2,567,413 	1,277,720 	1,289,693 	2,862,701 	1,418,218 	1,444,483 	3,166,592 	1,582,580 	1,584,012 	2,857,851 	1,357,054 	1,500,797 	3,390,585 	1,649,189 	1,741,396 	3,769,209 	1,829,729 	1,939,480 	4,206,313 	2,064,726 	2,141,587 	4,798,653 	2,382,085 	2,416,568 	5,386,163 	2,694,991 	2,691,172 	5,923,569 	2,966,388 	2,957,181 	6,221,638 	3,112,306 	3,109,332 	6,455,172 	3,228,724 	3,226,448 	6,690,603 	3,354,827 	3,335,776 	6,868,336 	3,439,180 	3,429,156 	7,043,300 	3,525,698 	3,517,602 	7,254,704 	3,638,994 	3,615,710 	7,410,719 	3,704,220 	3,706,499 																				
24　三　　重　　県	1,069,270 	525,957 	543,313 	1,107,692 	544,752 	562,940 	1,157,407 	571,000 	586,407 	1,174,595 	572,356 	602,239 	1,198,783 	585,427 	613,356 	1,394,286 	646,954 	747,332 	1,461,197 	704,805 	756,392 	1,485,582 	717,819 	767,763 	1,485,054 	716,715 	768,339 	1,514,467 	727,802 	786,665 	1,543,083 	742,461 	800,622 	1,626,002 	787,280 	838,722 	1,686,936 	817,578 	869,358 	1,747,311 	847,420 	899,891 	1,792,514 	869,515 	922,999 	1,841,358 	893,982 	947,376 	1,857,339 	901,380 	955,959 	1,866,963 	907,214 	959,749 	1,854,724 	903,398 	951,326 																				
25　滋　　賀　　県	651,050 	313,737 	337,313 	662,412 	321,071 	341,341 	691,631 	337,016 	354,615 	711,436 	345,185 	366,251 	703,679 	341,631 	362,048 	860,911 	394,802 	466,109 	861,180 	413,110 	448,070 	853,734 	409,813 	443,921 	842,695 	403,281 	439,414 	853,385 	409,502 	443,883 	889,768 	429,885 	459,883 	985,621 	481,733 	503,888 	1,079,898 	529,208 	550,690 	1,155,844 	568,735 	587,109 	1,222,411 	601,082 	621,329 	1,287,005 	634,648 	652,357 	1,342,832 	663,432 	679,400 	1,380,361 	681,474 	698,887 	1,410,777 	696,769 	714,008 																				
26　京　　都　　府	1,287,147 	650,780 	636,367 	1,406,382 	717,464 	688,918 	1,552,832 	792,420 	760,412 	1,702,508 	862,998 	839,510 	1,729,993 	863,494 	866,499 	1,603,796 	752,494 	851,302 	1,832,934 	891,616 	941,318 	1,935,161 	944,278 	990,883 	1,993,403 	973,040 	1,020,363 	2,102,808 	1,028,073 	1,074,735 	2,250,087 	1,102,011 	1,148,076 	2,424,856 	1,190,854 	1,234,002 	2,527,330 	1,238,365 	1,288,965 	2,586,574 	1,264,035 	1,322,539 	2,602,460 	1,267,620 	1,334,840 	2,629,592 	1,276,838 	1,352,754 	2,644,391 	1,278,142 	1,366,249 	2,647,660 	1,272,993 	1,374,667 	2,636,092 	1,265,387 	1,370,705 																				
27　大　　阪　　府	2,587,847 	1,344,846 	1,243,001 	3,059,502 	1,594,227 	1,465,275 	3,540,017 	1,845,786 	1,694,231 	4,297,174 	2,241,666 	2,055,508 	4,792,966 	2,460,574 	2,332,392 	2,800,958 	1,353,776 	1,447,182 	3,857,047 	1,899,745 	1,957,302 	4,618,308 	2,290,170 	2,328,138 	5,504,746 	2,766,229 	2,738,517 	6,657,189 	3,355,699 	3,301,490 	7,620,480 	3,823,622 	3,796,858 	8,278,925 	4,132,495 	4,146,430 	8,473,446 	4,203,838 	4,269,608 	8,668,095 	4,286,445 	4,381,650 	8,734,516 	4,308,184 	4,426,332 	8,797,268 	4,321,575 	4,475,693 	8,805,081 	4,304,059 	4,501,022 	8,817,166 	4,280,622 	4,536,544 	8,865,245 	4,285,566 	4,579,679 																				
28　兵　　庫　　県	2,301,799 	1,175,426 	1,126,373 	2,454,679 	1,239,326 	1,215,353 	2,646,301 	1,332,918 	1,313,383 	2,923,249 	1,466,284 	1,456,965 	3,221,232 	1,622,778 	1,598,454 	2,821,892 	1,344,778 	1,477,114 	3,309,935 	1,622,755 	1,687,180 	3,620,947 	1,773,488 	1,847,459 	3,906,487 	1,917,887 	1,988,600 	4,309,944 	2,120,749 	2,189,195 	4,667,928 	2,299,961 	2,367,967 	4,992,140 	2,453,277 	2,538,863 	5,144,892 	2,512,358 	2,632,534 	5,278,050 	2,567,814 	2,710,236 	5,405,040 	2,619,692 	2,785,348 	5,401,877 	2,612,369 	2,789,508 	5,550,574 	2,674,625 	2,875,949 	5,590,601 	2,680,288 	2,910,313 	5,588,133 	2,673,328 	2,914,805 																				
29　奈　　良　　県	564,607 	280,383 	284,224 	583,828 	289,770 	294,058 	596,225 	295,456 	300,769 	620,471 	306,011 	314,460 	620,509 	305,681 	314,828 	779,685 	355,351 	424,334 	763,883 	368,863 	395,020 	776,861 	377,961 	398,900 	781,058 	382,494 	398,564 	825,965 	400,353 	425,612 	930,160 	450,668 	479,492 	1,077,491 	523,633 	553,858 	1,209,365 	587,067 	622,298 	1,304,866 	632,955 	671,911 	1,375,481 	663,591 	711,890 	1,430,862 	688,741 	742,121 	1,442,795 	691,098 	751,697 	1,421,310 	676,375 	744,935 	1,400,728 	663,321 	737,407 																				
30  和  歌  山  県	750,411 	372,058 	378,353 	787,511 	392,191 	395,320 	830,748 	415,035 	415,713 	864,087 	428,638 	435,449 	865,074 	427,217 	437,857 	936,006 	430,015 	505,991 	982,113 	475,324 	506,789 	1,006,819 	490,533 	516,286 	1,002,191 	484,994 	517,197 	1,026,975 	497,256 	529,719 	1,042,736 	503,202 	539,534 	1,072,118 	517,868 	554,250 	1,087,012 	523,467 	563,545 	1,087,206 	520,172 	567,034 	1,074,325 	510,777 	563,548 	1,080,435 	513,450 	566,985 	1,069,912 	506,882 	563,030 	1,035,969 	488,022 	547,947 	1,002,198 	471,397 	530,801 																				
