name,1920,1920m,1920f,1925,1925m,1925f,1930,1930m,1930f,1935,1935m,1935f,1940,1940m,1940f,1945,1945m,1945f,1950,1950m,1950f,1955,1955m,1955f,1960,1060m,1960f,1965,1965m,1965f,1970,1970m,1970f,1975,1975m,1975f,1980,1980m,1980f,1985,1985m,1985f,1990,1990m,1990f,1995,1995m,1995f,2000,2000m,2000f,2005,2005m,2005f,2010,2010m,2010f
34________,1541905,775080,766825,1617680,818266,799414,1692136,856737,835399,1804916,914185,890731,1869504,936936,932568,1885471,878343,1007128,2081967,1015955,1066012,2149044,1047184,1101860,2184043,1058829,1125214,2281146,1107878,1173268,2436135,1188270,1247865,2646324,1296677,1349647,2739161,1336806,1402355,2819200,1373853,1445347,2849847,1385297,1464550,2881748,1398986,1482762,2878915,1392496,1486419,2876642,1390190,1486452,2860750,1380671,1480079
35________,1041013,521041,519972,1094544,552793,541751,1135637,571642,563995,1190542,598434,592108,1294242,658265,635977,1356491,638167,718324,1540882,760220,780662,1609839,792546,817293,1602207,780439,821768,1543573,740934,802639,1511448,719147,792301,1555218,743833,811385,1587079,759255,827824,1601627,763803,837824,1572616,744844,827772,1555543,736555,818988,1527964,722683,805281,1492606,703721,788885,1451338,684176,767162
36________,670212,331768,338444,689814,344550,345264,716544,356958,359586,728748,362042,366706,718717,354423,364294,835763,386052,449711,878511,427684,450827,878109,427204,450905,847274,408300,438974,815115,389795,425320,791111,376729,414382,805166,384812,420354,825261,395994,429267,834889,399689,435200,831598,395906,435692,832427,395636,436791,824108,391718,432390,809950,384635,425315,785491,372710,412781
37________,677852,336195,341657,700308,351911,348397,732816,368442,364374,748656,373522,375134,730394,359139,371255,863700,396235,467465,946022,457980,488042,943823,456711,487112,918867,438924,479943,900845,427058,473787,907897,430773,477124,961292,461370,499922,999864,481104,518760,1022569,492696,529873,1023412,491621,531791,1027006,493482,533524,1022890,491761,531129,1012400,486108,526292,995842,479951,515891
38________,1046720,515389,531331,1096366,542271,554095,1142122,564699,577423,1164898,575627,589271,1178705,580839,597866,1361484,635305,726179,1521878,742092,779786,1540628,749342,791286,1500687,721311,779376,1446384,688063,758321,1418124,670980,747144,1465215,697794,767421,1506637,718517,788120,1529983,728506,801477,1515025,716940,798085,1506700,712518,794182,1493092,704289,788803,1467815,691677,776138,1431493,673326,758167
39________,670895,332087,338808,687478,341687,345791,718152,357166,360986,714980,355225,359755,709286,348907,360379,775578,357940,417638,873874,425968,447906,882683,429175,453508,854595,411162,443433,812714,386725,425989,786882,372014,414868,808397,383538,424859,831275,396418,434857,839784,398408,441376,825034,389063,435971,816704,384446,432258,813949,383859,430090,796292,374435,421857,764456,359134,405322
40________,2188249,1116818,1071431,2301668,1166165,1135503,2527119,1280624,1246495,2755804,1392799,1363005,3094132,1577063,1517069,2746855,1304677,1442178,3530169,1745606,1784563,3859764,1895365,1964399,4006679,1954636,2052043,3964611,1911317,2053294,4027416,1932033,2095383,4292963,2070190,2222773,4553461,2200450,2353011,4719259,2270496,2448763,4811050,2303487,2507563,4933393,2357525,2575868,5015699,2388824,2626875,5049908,2394094,2655814,5071968,2393965,2678003
41________,673895,329962,343933,684831,336223,348608,691565,337996,353569,686117,332764,353353,701517,343047,358470,830431,379361,451070,945082,455824,489258,973749,470437,503312,942874,448797,494077,871885,410937,460948,838468,393631,444837,837674,394661,443013,865574,410912,454662,880013,417308,462705,877851,414673,463178,884316,418666,465650,876654,414377,462277,866369,408230,458139,849788,400136,449652
42________,1136182,584234,551948,1163945,593472,570473,1233362,630525,602837,1296883,662174,634709,1370063,698627,671436,1318589,618861,699728,1645492,812079,833413,1747596,859689,887907,1760421,860623,899798,1641245,788667,852578,1570245,747971,822274,1571912,750418,821494,1590564,758374,832190,1593968,757617,836351,1562959,736729,826230,1544934,726894,818040,1516523,712346,804177,1478632,691444,787188,1426779,665899,760880
43________,1233233,602389,630844,1296086,637753,658333,1353993,664106,689887,1387054,680409,706645,1368179,666886,701293,1556490,715526,840964,1827582,882420,945162,1895663,917171,978492,1856192,887038,969154,1770736,838584,932152,1700229,798152,902077,1715273,809998,905275,1790327,850831,939496,1837747,872932,964815,1840326,869441,970885,1859793,879873,979920,1859344,878145,981199,1842233,866916,975317,1817426,853514,963912
44________,860282,422708,437574,915136,451298,463838,945771,465994,479777,980458,481549,498909,972975,473521,499454,1124513,520470,604043,1252999,604825,648174,1277199,616402,660797,1239655,590963,648692,1187480,559433,628047,1155566,540541,615025,1190314,561760,628554,1228913,583097,645816,1250214,593014,657200,1236942,584672,652270,1231306,581909,649397,1221140,575985,645155,1209571,569796,639775,1196529,564890,631639
45________,651097,326610,324487,691094,348088,343006,760467,383128,377339,824431,416082,408349,840357,417180,423177,913687,426201,487486,1091427,535107,556320,1139384,559771,579613,1134590,552285,582305,1080692,517235,563457,1051105,498065,553040,1085055,515236,569819,1151587,550207,601380,1175543,558355,617188,1168907,551524,617383,1175819,556245,619574,1170007,552160,617847,1153042,542113,610929,1135233,533035,602198
46  _  _  _  _,1415582,682243,733339,1472193,713702,758491,1556690,753644,803046,1591466,773126,818340,1589467,765603,823864,1538466,699455,839011,1804118,868963,935155,2044112,985617,1058495,1963104,935282,1027822,1853541,872751,980790,1729150,803980,925170,1723902,804365,919537,1784623,839392,945231,1819270,856493,962777,1797824,842474,955350,1794224,840980,953244,1786194,837979,948215,1753179,819646,933533,1706242,796896,909346
47  _______,571572,274829,296743,557622,267933,289689,577509,272797,304712,592494,281266,311228,574579,270680,303899,-,-,-,914937,429432,485505,801065,381939,419126,883122,422843,460279,934176,447693,486483,945111,451393,493718,1042572,510754,531818,1106559,543692,562867,1179097,581102,597995,1222398,598669,623729,1273440,624737,648703,1318220,647877,670343,1361594,668502,693092,1392818,683328,709490
